publishedAt,authorDisplayName,textDisplay,likeCount
2024-05-27T08:22:54Z,@riaintans2454,Closingnya bedaaaaa gemessss,0
2024-05-27T08:21:16Z,@fiorelina4495,"Ubi 3kg di sini juga 15 ribu, tapi 15 ribu rupiah 😅😅",0
2024-05-27T08:20:03Z,@ahmadsaepudin4765,Selalu seru kalo liat keluarga ka gina sama appa jay...kompak selalu..salam dri bogor,0
2024-05-27T08:10:22Z,@sekarpinasthy2335,Jadi pengen beli tanah terus buat kebun buah biar bisa ekspor sayur dan buah²an indonesia kualitas premium,0
2024-05-27T07:44:26Z,@chenlenoona,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=277"">4:37</a> Gara2 chenle suka banget sama manggis, tiap liat manggis langsung yg diinget chenle 😂",0
2024-05-27T07:27:21Z,@mamamelon4939,kak collab sssama @tarawoni tv,1
2024-05-27T07:26:16Z,@annisawidiarti5010,WKWKWKW NGAKAK BANGET PAS MAMA GINA NIRUIN NANAS MIRING:((((((((((((((((((((((((((,0
2024-05-27T07:25:10Z,@hendicyrex1670,Jadi belajar angka ribuan dlm bhsa korea😅😅,0
2024-05-27T07:21:41Z,@adelajulianasari4933,yeayy seru bgt diajak grocery shopping di korea👐🏻 semoga kedepannya makin banyak produk indonesia sama buah buahannya bisa impor ke korea❤,0
2024-05-27T06:59:22Z,@indridls,HEY di atas kepala appa jay wkwk bgttt kata aku tehh 🤣,0
2024-05-27T06:57:46Z,@istiqomahdarwin6120,Jio : Sauna itu nama penjahat<br>Yunji : Itu Sa Ona 😅,0
2024-05-27T06:56:13Z,@rjerji759,Mama ghina ngidam rujak sptnya😅,0
2024-05-27T06:55:47Z,@nayeim7290,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=1216"">20:16</a> Mama gina: Beras bahasa Indonesia nya apa😭😭😭",0
2024-05-27T06:51:16Z,@Grefdata,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=593"">9:53</a> eh suara apa itu ahahaha",0
2024-05-27T06:32:44Z,@jiwoonmixx8466,indogrosirnya korea,0
2024-05-27T06:17:47Z,@SitiSalbiah-um1nj,😊,0
2024-05-27T06:11:50Z,@ditaputri3312,Coba bikin video belanja bulanan n mingguan teh.. beli barang kebutuhan bulanan  kumplit dr A-Z..,0
2024-05-27T06:11:03Z,@monicaputrikpop2919,Pepaya msh mentah bisa di tumis di masak ...,0
2024-05-27T06:02:53Z,@kurniasaputri1795,lucu banget appa Jay keknya ngambek dipanggil HEY sama mama Gina 😂,0
2024-05-27T05:51:26Z,@Syahp.BUNANYA_NJUN,"Seneng banget sama bercandaan keluarga kalian, ekspresif banget .. jadi keikut happy nonton nya ..",0
2024-05-27T05:50:15Z,@Syahp.BUNANYA_NJUN,"Uwah ku liat mart nya bakal kalap sih, salut sma appa jay dan eomma gina bisa enggak impulsif .. mungkin dari awal udah di fokusin belanja apa dan pasti udah difikirin budget nya .. kalau dari mam yannie kim, lebih milih buat enggak belanja langsung, jadi online aja gitu .. tapi dua&quot; nya punya plus minus nya masing&quot; .. Kembali lagi disesuaikan sama kebiasaan tiap keluarga",0
2024-05-27T05:50:12Z,@lilischannel5065,"Walaupun telat, gak gercep tapi aku tim yg selalu nonton vlog nya kimbab family, huhu berasa di ajak belanja di korea sama mama gina sama appa jay, 🥰 semoga suatu saat bisa ke korea 🤲🏻",0
2024-05-27T05:49:45Z,@rezkaanandaa8209,huaaaa kangen kimbab berkebuunn lagii,0
2024-05-27T05:28:18Z,@ylindasimatupang,Senyum mengembang lebar saat menonton video ini🥺 heart is full❤ berasa jadi anaknya mama gina dan appa Jay terus punya tiga adek😆<br><br><br>Tertawa terus dan bahagia terus uri kimbab family 🥰❤,4
2024-05-27T05:28:06Z,@ilda5349,"Jadi pengen beli buah dehh. Paling suka klo udah dikupasin sama ibu, apalagi pas lagi fokus belajar gitu dikasihnya. Sekarang jadi anak kost serba sendiri. Kangen deh sama ibu😢",0
2024-05-27T05:13:21Z,@ismahsanjani9981,Bisa Coba Bola-bola ubi mams mumpung ada ubinya nice pasti ❤❤,0
2024-05-27T05:07:23Z,@lofyoons,seperti biasa suka bgt kalo appa jay sama mama gina belanja😻,0
2024-05-27T05:02:02Z,@putriyunita2959,Ini di Costco iyaa kak,0
2024-05-27T05:01:44Z,@putriyunita2959,Ini di Costco iyaa kak,0
2024-05-27T04:53:21Z,@nurfaridatulh,kalo di indo kaya lotte mart mungkin yaa,0
2024-05-27T04:47:25Z,@fionateo4135,"Kenapa bisa yah video 20an menit tapi enjoy banget nonton kimbab family, super hangat",0
2024-05-27T04:36:14Z,@yosevinsugiarto,"Baru opening, salfok sama sound videonya, kok makin jelas dan jernih,  eh bener ternyata pake microphone wireless hehe... Makinn prepareee makin niatt bikin videonyaa😍😍 jadi makin nyaman nih yang nonton hihi.. Makin kompakkk  n suksesss buatt Kimbab Familyyy Favoritkuhh❤❤❤❤❤❤",0
2024-05-27T04:23:06Z,@dwitiarahayu,Sebelum ke Indonesia nanti pas libur sekolah. Buat konten seharian pakai bahasa Indonesia lagi dong mama Gina buat persiapan 🥰,0
2024-05-27T04:21:28Z,@Whatdouwant24,Mungkin belum memenuhi standar ekspor jdinya blm ada buah² dari Indonesia atau bisa jadi sdh ada yg ekspor tpi tidak masuk ke Korea,0
2024-05-27T04:04:56Z,@kulsummutmainah9389,Teh gina bikin baso lg<br>Makan nya bareng mertua,0
2024-05-27T04:04:25Z,@adniyumnalutfiah5898,&quot;berasa bahasa Indonesia nya apa?&quot;<br>&quot;Beras😂&quot;<br>😅😅😅😅,0
2024-05-27T03:43:23Z,@sintadewi31112,"Di Bali juga yg konsepnya grosir kaya gini dan semua macam ada, namanya Makro skrg ganti jadi Lotte mart",0
2024-05-27T03:24:58Z,@emamatulqudsiyah2660,"Ayo dong pemerintah indo, gencarkan ekspor hasil-hasil bumi masyarakat, kalo rakyat makmur dan sejahtera kan kalian jg dapet pahala",0
2024-05-27T03:06:58Z,@kearifanlokalpart2,Seru gt lho keluarga ini tuh,0
2024-05-27T03:04:03Z,@piyikjawa5739,jio sudh berubah mukanya,0
2024-05-27T03:03:17Z,@minjeongi3,mama gina kasih tau klo manggis dibawahnya itu yang bentuknya kayak bunga klo diitung jumlahnya sama kayak isinya,0
2024-05-27T02:58:01Z,@kaisyahanifaaa,❤❤❤,1
2024-05-27T02:47:54Z,@nurrohman9562,Selalu Seru ❤,0
